DATE,DEWP,FRSHTT,GUST,MAX,MIN,MXSPD,PRCP,SLP,SNDP,STP,TEMP,VISIB,WDSP
1973/6/4,62.4,0,999.9,75.2,62.6,13.6,0,1009.3,999.9,999.9,69.3,7.2,7.5
1973/6/5,59.4,10010,999.9,78.8,60.8,11.7,0.55,1008.5,999.9,999.9,69.3,11.7,5.6
1973/6/6,62.6,100000,999.9,82.4,59,7.8,0,1008.5,999.9,999.9,72.1,12.7,2.7
1973/6/7,63.3,0,999.9,89.6,62.6,7.8,0,1008.3,999.9,999.9,77,9.1,2.4
1973/6/8,64.1,0,999.9,91.4,66.2,11.7,0,1007.8,999.9,999.9,79.7,11,7.8
1973/6/9,64.4,0,999.9,87.8,69.8,19.4,0,1010.5,999.9,999.9,77.7,10.3,12.6
1973/6/10,64.2,0,999.9,91.4,69.8,15.5,0,1010.4,999.9,999.9,78.8,11.9,10
1973/6/11,66.4,10000,999.9,84.2,68,5.8,99.99,1009,999.9,999.9,74.8,7.1,4.1
1973/6/12,65,0,999.9,86,68,7.8,0,1009.6,999.9,999.9,74.3,8.5,2.6
1973/6/13,65.5,0,999.9,87.8,69.8,3.9,0,1008.6,999.9,999.9,78.1,7.3,1.7
1973/6/14,66,0,999.9,86,68,11.7,0,1007.5,999.9,999.9,78.6,13.7,5.3
1973/6/15,69.1,10000,999.9,84.2,69.8,11.7,99.99,1004.7,999.9,999.9,77,7.3,8.3
1973/6/16,70.7,10000,999.9,73.4,71.6,5.8,0.02,1001,999.9,999.9,72.1,4.5,4.4
1973/6/17,70.3,10000,999.9,77,71.6,5.8,1.18,1002.7,999.9,999.9,73.1,4.7,2.5
1973/6/18,69.3,10000,999.9,73.4,68,9.7,1.34,1004.9,999.9,999.9,71.4,6.6,6.8
1973/6/19,66.9,10000,999.9,77,69.8,7.8,0.55,1004.4,999.9,999.9,72,7.4,4.9
1973/6/20,69.8,10000,999.9,77,69.8,7.8,0.28,1002.5,999.9,999.9,72.8,5.8,4.2
1973/6/21,67.2,10000,999.9,82.4,64.4,9.7,0.28,1002.6,999.9,999.9,73.4,12.1,3.3
1973/6/22,69.5,0,999.9,82.4,64.4,11.7,0,1002.5,999.9,999.9,76.7,10.1,8
1973/6/23,71.4,0,999.9,82.4,71.6,11.7,0,1002.1,999.9,999.9,76.3,7.2,6.6
1973/6/24,73.4,10000,999.9,82.4,71.6,11.7,0.24,1000.4,999.9,999.9,76.6,7,7.5
1973/6/25,74.4,10000,999.9,80.6,73.4,7.8,0.28,997.1,999.9,999.9,77.3,7.2,5.3
1973/6/26,71.6,10010,999.9,86,69.8,17.5,0.28,1001,999.9,999.9,75.2,8.5,5.3
1973/6/27,70.7,0,999.9,84.2,69.8,7.8,0,1005.1,999.9,999.9,78.3,8.5,3.6
1973/6/28,71.8,10010,999.9,80.6,69.8,7.8,1.38,1005.5,999.9,999.9,75.4,8.6,2.4
1973/6/29,71.6,0,999.9,84.2,71.6,3.9,0,1007.9,999.9,999.9,79.2,11.2,3.2
1973/6/30,73.6,0,999.9,87.8,73.4,7.8,0.98,1008.3,999.9,999.9,80.8,12.3,5.3
1973/7/1,77.3,0,999.9,91.4,75.2,7.8,0,1005.5,999.9,999.9,83.7,10.6,5.3
